,Region,Year,WineType,Production_Hectoliters,Area_Hectares,Population,Area,Yield_Hl_Ha
135,Basilicata,2018,Pinot Grigio (White),4392.0,44.0,540000,South,99.8
136,Basilicata,2018,Primitivo (Red),51780.0,,540000,South,68.0
137,Basilicata,2018,Montepulciano (Red),5789.0,65.0,540000,South,89.1
138,Basilicata,2019,Sangiovese (Red),3649.0,62.0,540000,South,58.9
139,Basilicata,2019,Nebbiolo (Red),2062.0,39.0,540000,South,52.9
140,Basilicata,2019,Glera (Prosecco/Sparkling),4317.0,42.0,540000,South,102.8
141,Basilicata,2019,Pinot Grigio (White),3307.0,46.0,540000,South,71.9
142,Basilicata,2019,Primitivo (Red),65146.0,709.0,540000,South,91.9
143,Basilicata,2019,Montepulciano (Red),3977.0,42.0,540000,South,94.7
144,Basilicata,2020,Sangiovese (Red),2309.0,29.0,540000,South,79.6
145,Basilicata,2020,Nebbiolo (Red),1910.0,41.0,540000,South,46.6
146,Basilicata,2020,Glera (Prosecco/Sparkling),4166.0,33.0,540000,South,126.2
147,basilicata,2020,Pinot Grigio (White),3897.0,,540000,South,92.8
148,Basilicata,2020,Primitivo (Red),25893.0,372.0,540000,South,69.6
149,Basilicata,2020,Montepulciano (Red),4049.0,46.0,540000,South,88.0
150,Basilicata,2021,Sangiovese (Red),2745.0,42.0,540000,South,65.4
151,Basilicata,2021,nebbiolo (red),1360.0,34.0,540000,South,40.0
152,Basilicata,2021,Glera (Prosecco/Sparkling),6041.0,,540000,South,116.2
153,Basilicata,2021,Pinot Grigio (White),5165.0,49.0,540000,South,105.4
154,Basilicata,2021,Primitivo (Red),50446.0,739.0,540000,South,68.3
155,Basilicata,2021,Montepulciano (Red),4422.0,44.0,540000,South,100.5
156,Basilicata,2022,Sangiovese (Red),5137.0,65.0,540000,South,79.0
157,Basilicata,2022,Nebbiolo (Red),1213.0,26.0,540000,South,46.7
158,Basilicata,2022,Glera (Prosecco/Sparkling),8217.0,65.0,540000,South,126.4
159,Basilicata,2022,Pinot Grigio (White),2770.0,32.0,540000,South,86.6
160,Basilicata,2022,Primitivo (Red),,841.0,540000,South,59.2
161,Basilicata,2022,Montepulciano (Red),3930.0,47.0,540000,South,83.6
162,Basilicata,2023,Sangiovese (Red),2787.0,53.0,540000,South,
163,Basilicata,2023,Nebbiolo (Red),2162.0,54.0,540000,South,40.0
164,Basilicata,2023,Glera (Prosecco/Sparkling),2620.0,30.0,540000,South,87.3
165,Basilicata,2023,Pinot Grigio (White),2889.0,38.0,540000,South,76.0
166,Basilicata,2023,Primitivo (Red),27665.0,,540000,South,66.0
167,Basilicata,2023,Montepulciano (Red),,28.0,540000,South,72.9
168,Basilicata,2024,Sangiovese (Red),,,540000,South,72.6
169,Basilicata,2024,Nebbiolo (Red),1459.0,,540000,South,45.6
170,Basilicata,2024,Glera (Prosecco/Sparkling),4320.0,43.0,540000,South,
171,Basilicata,2024,Pinot Grigio (White),2114.0,24.0,540000,South,88.1
172,Basilicata,2024,Primitivo (Red),,920.0,540000,South,75.3
173,Basilicata,2024,Montepulciano (Red),3978.0,41.0,540000,South,97.0
174,Basilicata,2025,sangiovese (red),2592.0,41.0,540000,South,63.2
175,Basilicata,2025,Nebbiolo (Red),1526.0,30.0,540000,South,50.9
176,Basilicata,2025,Glera (Prosecco/Sparkling),4201.0,,540000,South,82.4
177,Basilicata,2025,Pinot Grigio (White),2382.0,35.0,540000,South,68.1
178,Basilicata,2025,Primitivo (Red),60607.0,779.0,540000,South,77.8
179,Basilicata,2025,Montepulciano (Red),2488.0,29.0,540000,South,85.8
180,Calabria,2011,Sangiovese (Red),2998.0,45.0,1800000,South,66.6
181,Calabria,2011,Nebbiolo (Red),3486.0,73.0,1800000,South,47.8
182,Calabria,2011,Glera (Prosecco/Sparkling),5918.0,61.0,1800000,South,97.0
183,Calabria,2011,Pinot Grigio (White),8622.0,,1800000,South,99.1
184,Calabria,2011,Primitivo (Red),109957.0,1245.0,1800000,South,88.3
185,Calabria,2011,Montepulciano (Red),12654.0,133.0,1800000,South,95.1
186,Calabria,2012,Sangiovese (Red),3554.0,56.0,1800000,South,63.5
187,Calabria,2012,Nebbiolo (Red),4518.0,109.0,1800000,South,41.4
188,Calabria,2012,Glera (Prosecco/Sparkling),,47.0,1800000,South,116.7
189,Calabria,2012,Pinot Grigio (White),5526.0,,1800000,South,83.7
190,Calabria,2012,Primitivo (Red),72736.0,1082.0,1800000,South,67.2
191,Calabria,2012,Montepulciano (Red),2939.0,,1800000,South,91.8
192,Calabria,2013,Sangiovese (Red),4734.0,82.0,1800000,South,57.7
193,Calabria,2013,Nebbiolo (Red),3949.0,80.0,1800000,South,49.4
194,Calabria,2013,Glera (Prosecco/Sparkling),9532.0,97.0,1800000,South,98.3
195,Calabria,2013,Pinot Grigio (White),12212.0,115.0,1800000,South,106.2
196,Calabria,2013,Primitivo (Red),87668.0,,1800000,South,
197,Calabria,2013,Montepulciano (Red),4664.0,,1800000,South,57.6
198,Calabria,2014,Sangiovese (Red),4679.0,81.0,1800000,South,57.8
199,Calabria,2014,Nebbiolo (Red),2812.0,57.0,1800000,South,49.3
200,Calabria,2014,Glera (Prosecco/Sparkling),7076.0,64.0,1800000,South,110.6
201,Calabria,2014,Pinot Grigio (White),6832.0,70.0,1800000,South,97.6
202,Calabria,2014,Primitivo (Red),,,1800000,South,88.0
203,Calabria,2014,Montepulciano (Red),3584.0,48.0,1800000,South,74.7
204,Calabria,2015,Sangiovese (Red),5715.0,95.0,1800000,South,60.2
205,Calabria,2015,Nebbiolo (Red),,95.0,1800000,South,55.9
206,Calabria,2015,Glera (Prosecco/Sparkling),8509.0,81.0,1800000,South,105.0
207,Calabria,2015,Pinot Grigio (White),6771.0,,1800000,South,86.8
208,Calabria,2015,primitivo (red),132742.0,1417.0,1800000,South,93.7
209,Calabria,2015,montepulciano (red),7463.0,79.0,1800000,South,94.5
210,Calabria,2016,Sangiovese (Red),2163.0,38.0,1800000,South,56.9
211,Calabria,2016,Nebbiolo (Red),4422.0,101.0,1800000,South,43.8
212,Calabria,2016,Glera (Prosecco/Sparkling),12240.0,114.0,1800000,South,107.4
213,Calabria,2016,Pinot Grigio (White),9095.0,100.0,1800000,South,91.0
214,Calabria,2016,Primitivo (Red),67808.0,795.0,1800000,South,85.3
215,Calabria,2016,Montepulciano (Red),,,1800000,South,97.5
216,Calabria,2017,Sangiovese (Red),4457.0,77.0,1800000,South,57.9
217,calabria,2017,Nebbiolo (Red),2268.0,61.0,1800000,South,37.2
218,Calabria,2017,Glera (Prosecco/Sparkling),10219.0,115.0,1800000,South,88.9
219,Calabria,2017,Pinot Grigio (White),6598.0,77.0,1800000,South,85.7
220,Calabria,2017,Primitivo (Red),74793.0,1343.0,1800000,South,55.7
221,Calabria,2017,montepulciano (red),5000.0,74.0,1800000,South,67.6
222,Calabria,2018,Sangiovese (Red),7660.0,,1800000,South,75.8
223,Calabria,2018,Nebbiolo (Red),2223.0,45.0,1800000,South,49.4
224,Calabria,2018,Glera (Prosecco/Sparkling),7549.0,,1800000,South,
225,Calabria,2018,Pinot Grigio (White),9897.0,,1800000,South,
226,Calabria,2018,Primitivo (Red),118384.0,1452.0,1800000,South,81.5
227,Calabria,2018,montepulciano (red),6974.0,78.0,1800000,South,89.4
228,Calabria,2019,sangiovese (red),8712.0,115.0,1800000,South,
229,Calabria,2019,Nebbiolo (Red),4365.0,90.0,1800000,South,48.5
230,Calabria,2019,Glera (Prosecco/Sparkling),9655.0,89.0,1800000,South,108.5
231,Calabria,2019,Pinot Grigio (White),12190.0,128.0,1800000,South,95.2
232,Calabria,2019,Primitivo (Red),98553.0,1385.0,1800000,South,71.2
233,Calabria,2019,Montepulciano (Red),6488.0,105.0,1800000,South,61.8
234,Calabria,2020,Sangiovese (Red),3059.0,56.0,1800000,South,54.6
235,Calabria,2020,Nebbiolo (Red),2288.0,49.0,1800000,South,46.7
236,calabria,2020,Glera (Prosecco/Sparkling),10779.0,101.0,1800000,South,
237,Calabria,2020,Pinot Grigio (White),8223.0,93.0,1800000,South,88.4
238,Calabria,2020,Primitivo (Red),,1794.0,1800000,South,85.1
239,Calabria,2020,Montepulciano (Red),5860.0,65.0,1800000,South,90.2
240,Calabria,2021,Sangiovese (Red),3818.0,68.0,1800000,South,56.1
241,Calabria,2021,Nebbiolo (Red),3952.0,81.0,1800000,South,48.8
242,Calabria,2021,Glera (Prosecco/Sparkling),11190.0,102.0,1800000,South,109.7
243,Calabria,2021,Pinot Grigio (White),6591.0,72.0,1800000,South,91.5
244,Calabria,2021,Primitivo (Red),95769.0,1366.0,1800000,South,70.1
245,Calabria,2021,Montepulciano (Red),6191.0,106.0,1800000,South,58.4
246,Calabria,2022,Sangiovese (Red),4696.0,97.0,1800000,South,48.4
247,Calabria,2022,Nebbiolo (Red),4345.0,93.0,1800000,South,46.7
248,Calabria,2022,Glera (Prosecco/Sparkling),7247.0,72.0,1800000,South,100.7
249,Calabria,2022,Pinot Grigio (White),40659.38922423471,67.0,1800000,South,89.3
250,Calabria,2022,Primitivo (Red),131308.0,1519.0,1800000,South,
251,Calabria,2022,Montepulciano (Red),5284.0,68.0,1800000,South,77.7
252,Calabria,2023,Sangiovese (Red),3969.0,71.0,1800000,South,55.9
253,Calabria,2023,Nebbiolo (Red),2570.0,69.0,1800000,South,37.2
254,Calabria,2023,Glera (Prosecco/Sparkling),12599.0,135.0,1800000,South,93.3
255,Calabria,2023,Pinot Grigio (White),6564.0,106.0,1800000,South,61.9
256,Calabria,2023,Primitivo (Red),80614.0,1409.0,1800000,South,57.2
257,Calabria,2023,montepulciano (red),4282.0,,1800000,South,85.6
258,Calabria,2024,Sangiovese (Red),4843.0,66.0,1800000,South,73.4
259,calabria,2024,Nebbiolo (Red),3962.0,,1800000,South,39.2
260,calabria,2024,Glera (Prosecco/Sparkling),9698.0,74.0,1800000,South,131.1
261,Calabria,2024,Pinot Grigio (White),,48.0,1800000,South,84.5
262,Calabria,2024,Primitivo (Red),99104.0,1261.0,1800000,South,78.6
263,Calabria,2024,Montepulciano (Red),8892.0,105.0,1800000,South,84.7
264,Calabria,2025,Sangiovese (Red),4453.0,69.0,1800000,South,64.5
265,Calabria,2025,Nebbiolo (Red),6009.0,117.0,1800000,South,51.4
266,calabria,2025,glera (prosecco/sparkling),13258.0,123.0,1800000,South,107.8
267,Calabria,2025,Pinot Grigio (White),4641.0,51.0,1800000,South,
268,Calabria,2025,Primitivo (Red),90157.0,1362.0,1800000,South,
269,Calabria,2025,Montepulciano (Red),11798.0,128.0,1800000,South,92.2
270,Campania,2011,Sangiovese (Red),18943.0,260.0,5600000,South,72.9
271,Campania,2011,Nebbiolo (Red),9806.0,194.0,5600000,South,50.5
272,Campania,2011,Glera (Prosecco/Sparkling),12303.0,130.0,5600000,South,94.6
273,Campania,2011,Pinot Grigio (White),20512.0,223.0,5600000,South,92.0
274,Campania,2011,Primitivo (Red),12093.0,194.0,5600000,South,62.3
275,Campania,2011,Montepulciano (Red),23381.0,307.0,5600000,South,76.2
276,Campania,2012,Sangiovese (Red),16265.0,189.0,5600000,South,86.1
277,Campania,2012,Nebbiolo (Red),11294.0,231.0,5600000,South,48.9
278,Campania,2012,Glera (Prosecco/Sparkling),22850.0,205.0,5600000,South,111.5
279,Campania,2012,pinot grigio (white),14581.0,146.0,5600000,South,99.9
280,Campania,2012,Primitivo (Red),152022.48653620767,246.0,5600000,South,90.9
281,Campania,2012,Montepulciano (Red),12554.0,155.0,5600000,South,
282,Campania,2013,Sangiovese (Red),19286.0,,5600000,South,72.8
283,Campania,2013,Nebbiolo (Red),6607.0,123.0,5600000,South,
284,Campania,2013,Glera (Prosecco/Sparkling),25838.0,220.0,5600000,South,117.4
285,Campania,2013,Pinot Grigio (White),,317.0,5600000,South,91.2
286,campania,2013,Primitivo (Red),24062.0,284.0,5600000,South,84.7
287,Campania,2013,Montepulciano (Red),19361.0,212.0,5600000,South,91.3
288,Campania,2014,Sangiovese (Red),112348.49116748257,248.0,5600000,South,66.7
289,Campania,2014,Nebbiolo (Red),12751.0,262.0,5600000,South,48.7
290,Campania,2014,Glera (Prosecco/Sparkling),23301.0,,5600000,South,122.6
291,campania,2014,Pinot Grigio (White),29256.0,,5600000,South,
292,Campania,2014,Primitivo (Red),18855.0,268.0,5600000,South,70.4
293,Campania,2014,Montepulciano (Red),12871.0,143.0,5600000,South,90.0
294,Campania,2015,Sangiovese (Red),14986.0,245.0,5600000,South,61.2
295,Campania,2015,Nebbiolo (Red),10513.0,216.0,5600000,South,48.7
296,campania,2015,Glera (Prosecco/Sparkling),35280.0,314.0,5600000,South,112.4
297,Campania,2015,Pinot Grigio (White),27663.0,298.0,5600000,South,92.8
298,Campania,2015,Primitivo (Red),22500.0,,5600000,South,84.6
299,Campania,2015,Montepulciano (Red),23996.0,307.0,5600000,South,78.2
300,Campania,2016,Sangiovese (Red),25211.0,406.0,5600000,South,62.1
301,Campania,2016,Nebbiolo (Red),5685.0,145.0,5600000,South,39.2
302,Campania,2016,Glera (Prosecco/Sparkling),29959.0,281.0,5600000,South,106.6
303,Campania,2016,pinot grigio (white),13513.0,170.0,5600000,South,79.5
304,Campania,2016,Primitivo (Red),,,5600000,South,77.1
305,Campania,2016,Montepulciano (Red),17538.0,191.0,5600000,South,91.8
306,Campania,2017,Sangiovese (Red),17611.0,325.0,5600000,South,54.2
307,Campania,2017,Nebbiolo (Red),13400.0,353.0,5600000,South,38.0
308,Campania,2017,Glera (Prosecco/Sparkling),34575.0,344.0,5600000,South,100.5
309,Campania,2017,Pinot Grigio (White),,136.0,5600000,South,78.1
310,Campania,2017,Primitivo (Red),12673.0,,5600000,South,59.5
311,Campania,2017,Montepulciano (Red),16354.0,229.0,5600000,South,71.4
312,Campania,2018,Sangiovese (Red),138403.66387109546,337.0,5600000,South,60.4
313,Campania,2018,nebbiolo (red),11344.0,246.0,5600000,South,46.1
314,Campania,2018,Glera (Prosecco/Sparkling),31766.0,,5600000,South,91.8
315,Campania,2018,Pinot Grigio (White),18604.0,203.0,5600000,South,91.6
316,Campania,2018,Primitivo (Red),15660.0,,5600000,South,71.5
317,Campania,2018,Montepulciano (Red),26354.0,275.0,5600000,South,95.8
318,Campania,2019,Sangiovese (Red),13070.0,223.0,5600000,South,
319,Campania,2019,Nebbiolo (Red),12628.0,292.0,5600000,South,
320,Campania,2019,Glera (Prosecco/Sparkling),33918.0,301.0,5600000,South,112.7
321,Campania,2019,Pinot Grigio (White),2520.0,31.0,5600000,South,81.3
322,Campania,2019,Primitivo (Red),18398.0,218.0,5600000,South,
323,Campania,2019,Montepulciano (Red),13623.0,152.0,5600000,South,
324,Campania,2020,Sangiovese (Red),21717.0,294.0,5600000,South,73.9
325,Campania,2020,Nebbiolo (Red),14544.0,282.0,5600000,South,51.6
326,Campania,2020,glera (prosecco/sparkling),52093.0,420.0,5600000,South,
327,Campania,2020,Pinot Grigio (White),20478.0,,5600000,South,
328,Campania,2020,Primitivo (Red),16943.0,222.0,5600000,South,76.3
329,Campania,2020,Montepulciano (Red),18979.0,211.0,5600000,South,89.9
330,campania,2021,Sangiovese (Red),16324.0,217.0,5600000,South,75.2
331,Campania,2021,Nebbiolo (Red),12814.0,316.0,5600000,South,40.6
332,Campania,2021,Glera (Prosecco/Sparkling),26051.0,219.0,5600000,South,119.0
333,Campania,2021,Pinot Grigio (White),27917.0,303.0,5600000,South,92.1
334,Campania,2021,Primitivo (Red),,,5600000,South,89.2
335,Campania,2021,Montepulciano (Red),23928.0,339.0,5600000,South,70.6
336,Campania,2022,Sangiovese (Red),13576.0,204.0,5600000,South,66.5
337,Campania,2022,nebbiolo (red),10800.0,221.0,5600000,South,48.9
338,Campania,2022,glera (prosecco/sparkling),35037.0,,5600000,South,91.7
339,Campania,2022,Pinot Grigio (White),20083.0,237.0,5600000,South,84.7
340,Campania,2022,Primitivo (Red),25745.0,346.0,5600000,South,74.4
341,Campania,2022,montepulciano (red),12221.0,151.0,5600000,South,80.9
342,Campania,2023,Sangiovese (Red),4886.0,142.0,5600000,South,34.4
343,Campania,2023,Nebbiolo (Red),11397.0,263.0,5600000,South,43.3
344,Campania,2023,Glera (Prosecco/Sparkling),28755.0,,5600000,South,81.2
345,Campania,2023,Pinot Grigio (White),,246.0,5600000,South,60.5
346,Campania,2023,Primitivo (Red),17276.0,343.0,5600000,South,
347,Campania,2023,Montepulciano (Red),18329.0,278.0,5600000,South,65.9
348,Campania,2024,Sangiovese (Red),13472.0,176.0,5600000,South,76.5
