,Region,Year,CropType,Production_Tonnes,Area_Hectares,Population,Area,Yield_Tonnes_per_Hectare
27,Autonomous Republic of Crimea,2014,Potatoes,351011.0,16614.0,1963000,South,21.12742265559167
28,Autonomous Republic of Crimea,2015,Wheat,101827.0,23760.0,1963000,South,4.285648148148148
29,Autonomous Republic of Crimea,2015,Barley,69323.0,18505.0,1963000,South,3.7461767089975684
30,Autonomous Republic of Crimea,2015,Corn,126419.0,21996.0,1963000,South,5.747363156937625
31,Autonomous Republic of Crimea,2015,Sunflower,86869.0,31437.0,1963000,South,2.763272576899831
32,Autonomous Republic of Crimea,2015,Rye,73081.0,23909.0,1963000,South,3.0566313940357186
33,Autonomous Republic of Crimea,2015,Soybean,94669.0,38054.0,1963000,South,2.4877542439690967
34,Autonomous Republic of Crimea,2015,Potatoes,335456.0,19713.0,1963000,South,17.016993861918532
35,Autonomous Republic of Crimea,2016,Wheat,140714.0,37360.0,1963000,South,3.7664346895074945
36,Autonomous Republic of Crimea,2016,Barley,80649.0,25528.0,1963000,South,3.15923691632717
37,Autonomous Republic of Crimea,2016,Corn,136000.0,,1963000,South,6.066283063472947
38,Autonomous Republic of Crimea,2016,Sunflower,61346.0,,1963000,South,2.461618715139842
39,Autonomous Republic of Crimea,2016,Rye,74669.0,21322.0,1963000,South,3.5019697964543663
40,Autonomous Republic of Crimea,2016,Soybean,28877.0,12099.0,1963000,South,2.3867261757170013
41,Autonomous Republic of Crimea,2016,Potatoes,445313.0,26662.0,1963000,South,16.70216037806616
42,Autonomous Republic of Crimea,2017,Wheat,101450.0,23920.0,1963000,South,4.241220735785953
43,Autonomous Republic of Crimea,2017,barley,92506.0,28070.0,1963000,South,3.295546847167795
44,Autonomous Republic of Crimea,2017,Corn,255916.0,,1963000,South,7.627898658718331
45,Autonomous Republic of Crimea,2017,Sunflower,62465.0,21890.0,1963000,South,2.853586112380082
46,Autonomous Republic of Crimea,2017,Rye,112252.0,28818.0,1963000,South,3.8952043861475465
47,Autonomous Republic of Crimea,2017,Soybean,63215.0,22091.0,1963000,South,2.861572586121045
48,Autonomous Republic of Crimea,2017,Potatoes,475493.0,28836.0,1963000,South,16.489561659037314
49,Autonomous Republic of Crimea,2018,Wheat,99322.0,26789.0,1963000,South,3.70756653850461
50,Autonomous Republic of Crimea,2018,Barley,75091.0,20951.0,1963000,South,3.5841248627750466
51,Autonomous Republic of Crimea,2018,Corn,191425.0,30586.0,1963000,South,6.258582357941542
52,Autonomous Republic of Crimea,2018,Sunflower,52377.0,24124.0,1963000,South,
53,Autonomous Republic of Crimea,2018,Rye,80949.0,26299.0,1963000,South,3.0780257804479256
54,Autonomous Republic of Crimea,2018,Soybean,863964.986533534,30081.0,1963000,South,3.053555400418869
55,Autonomous Republic of Crimea,2018,Potatoes,481822.0,27719.0,1963000,South,17.382373101482738
56,Autonomous Republic of Crimea,2019,Wheat,135012.0,,1963000,South,4.625441090821885
57,Autonomous Republic of Crimea,2019,Barley,113448.0,40813.0,1963000,South,2.779702545757479
58,Autonomous Republic of Crimea,2019,Corn,216669.0,30866.0,1963000,South,7.019665651525951
59,Autonomous Republic of Crimea,2019,Sunflower,71399.0,27056.0,1963000,South,2.6389340626848017
60,Autonomous Republic of Crimea,2019,Rye,67143.0,27486.0,1963000,South,2.4428072473259115
61,Autonomous Republic of Crimea,2019,Soybean,54755.0,30563.0,1963000,South,1.791545332591696
62,Autonomous Republic of Crimea,2019,Potatoes,399393.0,20000.0,1963000,South,19.96965
63,Autonomous Republic of Crimea,2020,Wheat,53932.0,22702.0,1963000,South,2.3756497224914104
64,Autonomous Republic of Crimea,2020,Barley,103614.0,35080.0,1963000,South,2.953648802736602
65,Autonomous Republic of Crimea,2020,Corn,112351.0,20248.0,1963000,South,5.548745555116555
66,Autonomous Republic of Crimea,2020,Sunflower,35229.0,22588.0,1963000,South,
67,Autonomous Republic of Crimea,2020,Rye,74584.0,34273.0,1963000,South,2.1761736644005487
68,Autonomous Republic of Crimea,2020,Soybean,74292.0,27569.0,1963000,South,2.694765860205303
69,Autonomous Republic of Crimea,2020,potatoes,258832.0,,1963000,South,14.656398640996603
70,Autonomous Republic of Crimea,2021,Wheat,88596.0,20200.0,1963000,South,4.385940594059406
71,Autonomous Republic of Crimea,2021,Barley,102875.0,,1963000,South,3.744176736060562
72,Autonomous Republic of Crimea,2021,Corn,90968.0,21517.0,1963000,South,
73,Autonomous Republic of Crimea,2021,Sunflower,41334.0,19732.0,1963000,South,2.094769916886276
74,Autonomous Republic of Crimea,2021,Rye,82262.0,27488.0,1963000,South,2.992651338766007
75,Autonomous Republic of Crimea,2021,Soybean,60464.0,30300.0,1963000,South,1.9955115511551156
76,Autonomous Republic of Crimea,2021,Potatoes,413352.0,28368.0,1963000,South,14.571065989847716
77,Autonomous Republic of Crimea,2022,Wheat,160564.0,33086.0,1963000,South,4.852928731185395
78,Autonomous Republic of Crimea,2022,Barley,47478.0,17345.0,1963000,South,2.737272989334102
79,Autonomous Republic of Crimea,2022,Corn,,30251.0,1963000,South,6.885788899540511
80,Autonomous Republic of Crimea,2022,Sunflower,119523.0,31117.0,1963000,South,3.84108365202301
81,Autonomous Republic of Crimea,2022,Rye,122049.0,37051.0,1963000,South,3.2940811314134573
82,Autonomous Republic of Crimea,2022,Soybean,63839.0,22968.0,1963000,South,
83,Autonomous Republic of Crimea,2022,Potatoes,374462.0,24265.0,1963000,South,15.43218627652998
84,Autonomous Republic of Crimea,2023,Wheat,103748.0,41397.0,1963000,South,2.50617194482692
85,Autonomous Republic of Crimea,2023,Barley,72222.0,21571.0,1963000,South,3.3481062537666313
86,Autonomous Republic of Crimea,2023,Corn,175869.0,21623.0,1963000,South,8.13342274430005
87,Autonomous Republic of Crimea,2023,Sunflower,83964.0,35708.0,1963000,South,2.3514058474291475
88,Autonomous Republic of Crimea,2023,Rye,56972.0,19590.0,1963000,South,2.9082184788157224
89,Autonomous Republic of Crimea,2023,Soybean,149500.0,45007.0,1963000,South,3.321705512475837
90,Autonomous Republic of Crimea,2023,Potatoes,241939.0,13036.0,1963000,South,18.55929733046947
91,Autonomous Republic of Crimea,2024,Wheat,60373.0,22657.0,1963000,South,
92,Autonomous Republic of Crimea,2024,Barley,119132.0,31191.0,1963000,South,3.8194350934564456
93,Autonomous Republic of Crimea,2024,Corn,146111.0,24258.0,1963000,South,6.023208838321379
94,Autonomous Republic of Crimea,2024,Sunflower,104454.0,42427.0,1963000,South,2.4619699719518233
95,Autonomous Republic of Crimea,2024,Rye,114063.0,31460.0,1963000,South,3.6256516211061665
96,Autonomous Republic of Crimea,2024,Soybean,34916.0,16181.0,1963000,South,
97,Autonomous Republic of Crimea,2024,Potatoes,570917.0,24175.0,1963000,South,23.616008273009307
98,Autonomous Republic of Crimea,2025,Wheat,11449.0,3600.0,1963000,South,3.180277777777778
99,Autonomous Republic of Crimea,2025,Barley,34121.0,13541.0,1963000,South,2.519828668488295
100,Autonomous Republic of Crimea,2025,Corn,,24389.0,1963000,South,6.696092500717537
101,Autonomous Republic of Crimea,2025,Sunflower,99462.0,30706.0,1963000,South,3.239171497427213
102,Autonomous Republic of Crimea,2025,Rye,58159.0,19188.0,1963000,South,3.0310089639357933
103,Autonomous Republic of Crimea,2025,Soybean,66154.0,27219.0,1963000,South,2.4304346228737277
104,Autonomous Republic of Crimea,2025,Potatoes,570491.0,28544.0,1963000,South,19.98637191704036
105,Cherkasy Oblast,2011,Wheat,307908.0,54123.0,1160000,Center,5.6890416274042455
106,Cherkasy Oblast,2011,Barley,245290.0,67148.0,1160000,Center,3.652975516768928
107,Cherkasy Oblast,2011,Corn,623678.0,91564.0,1160000,Center,6.811388755406055
108,Cherkasy Oblast,2011,Sunflower,132068.0,50029.0,1160000,Center,2.6398288992384416
109,Cherkasy Oblast,2011,Rye,304754.0,86424.0,1160000,Center,3.5262658520781263
110,Cherkasy Oblast,2011,Soybean,304349.0,112107.0,1160000,Center,2.714808174333449
111,Cherkasy Oblast,2011,Potatoes,1238560.0,78046.0,1160000,Center,15.869615355047024
112,Cherkasy Oblast,2012,Wheat,262498.0,64120.0,1160000,Center,4.093855271366189
113,Cherkasy Oblast,2012,Barley,234861.0,58757.0,1160000,Center,3.99715778545535
114,Cherkasy Oblast,2012,Corn,903615.0,110898.0,1160000,Center,8.148163176973435
115,Cherkasy Oblast,2012,Sunflower,152512.0,63424.0,1160000,Center,2.4046417759838548
116,Cherkasy Oblast,2012,Rye,241829.0,86045.0,1160000,Center,2.8104945086873148
117,Cherkasy Oblast,2012,Soybean,237916.0,84159.0,1160000,Center,2.826982259770197
118,Cherkasy Oblast,2012,Potatoes,1373071.0,77973.0,1160000,Center,17.60956997935183
119,Cherkasy Oblast,2013,Wheat,472718.0,97424.0,1160000,Center,4.852171949416982
120,Cherkasy Oblast,2013,Barley,1191862.338805025,49277.0,1160000,Center,2.5714836536315118
121,Cherkasy Oblast,2013,Corn,9950279.877676181,141040.0,1160000,Center,7.500581395348838
122,Cherkasy Oblast,2013,Sunflower,115305.0,59402.0,1160000,Center,1.941096259385206
123,Cherkasy Oblast,2013,Rye,114278.0,31010.0,1160000,Center,3.6851983231215737
124,Cherkasy Oblast,2013,Soybean,,70975.0,1160000,Center,2.239295526593871
125,Cherkasy Oblast,2013,Potatoes,1544956.0,69991.0,1160000,Center,22.073638039176465
126,Cherkasy Oblast,2014,Wheat,217769.0,60585.0,1160000,Center,3.5944375670545514
127,Cherkasy Oblast,2014,Barley,250341.0,65474.0,1160000,Center,3.8235177322295875
128,Cherkasy Oblast,2014,Corn,303161.0,,1160000,Center,4.388803636574208
129,Cherkasy Oblast,2014,Sunflower,133405.0,46907.0,1160000,Center,2.844031807619332
130,Cherkasy Oblast,2014,Rye,234834.0,66381.0,1160000,Center,3.5376689112848556
131,Cherkasy Oblast,2014,Soybean,,85307.0,1160000,Center,2.3977164828208704
132,Cherkasy Oblast,2014,Potatoes,1101442.0,70977.0,1160000,Center,15.518294658833144
133,Cherkasy Oblast,2015,Wheat,269193.0,66123.0,1160000,Center,4.0710947779138875
134,Cherkasy Oblast,2015,Barley,204796.0,66943.0,1160000,Center,
135,Cherkasy Oblast,2015,Corn,914658.0,114687.0,1160000,Center,7.97525438803003
136,Cherkasy Oblast,2015,Sunflower,134679.0,67651.0,1160000,Center,1.990790971308628
137,Cherkasy Oblast,2015,Rye,301539.0,100409.0,1160000,Center,3.0031072911790777
138,Cherkasy Oblast,2015,Soybean,290824.0,144235.0,1160000,Center,2.0163205879294206
139,Cherkasy Oblast,2015,Potatoes,,59714.0,1160000,Center,20.928911143115517
140,Cherkasy Oblast,2016,Wheat,,46618.0,1160000,Center,3.520485649320005
141,Cherkasy Oblast,2016,Barley,155877.0,70408.0,1160000,Center,2.2139103510964664
142,Cherkasy Oblast,2016,Corn,1004281.0,107822.0,1160000,Center,9.314249411066386
143,Cherkasy Oblast,2016,Sunflower,174330.0,64850.0,1160000,Center,2.6882035466461063
144,Cherkasy Oblast,2016,Rye,158847.0,42750.0,1160000,Center,3.715719298245614
145,Cherkasy Oblast,2016,Soybean,214056.0,94762.0,1160000,Center,2.258880141829003
146,Cherkasy Oblast,2016,Potatoes,796247.0,,1160000,Center,22.06159259669733
147,Cherkasy Oblast,2017,Wheat,285198.0,,1160000,Center,4.222965869549123
148,Cherkasy Oblast,2017,Barley,97549.0,33176.0,1160000,Center,2.9403484446587895
149,cherkasy reg.,2017,Corn,8274166.734696135,126509.0,1160000,Center,6.953521093360947
150,Cherkasy Oblast,2017,Sunflower,154869.0,,1160000,Center,2.3187800386291157
151,Cherkasy Oblast,2017,rye,107501.0,53739.0,1160000,Center,2.00042799456633
152,Cherkasy Oblast,2017,Soybean,246356.0,92712.0,1160000,Center,2.6572180516006556
153,Cherkasy Oblast,2017,Potatoes,1785381.0,78915.0,1160000,Center,22.624101881771526
154,Cherkasy Oblast,2018,Wheat,244587.0,71912.0,1160000,Center,3.4011986872844586
155,Cherkasy Oblast,2018,Barley,306268.0,72391.0,1160000,Center,4.230746916053101
156,Cherkasy Oblast,2018,Corn,1697287.0,185841.0,1160000,Center,9.133006171942682
157,Cherkasy Oblast,2018,Sunflower,95534.0,43576.0,1160000,Center,2.192353589131632
158,Cherkasy Oblast,2018,Rye,279240.0,,1160000,Center,3.484315340271019
159,Cherkasy Oblast,2018,Soybean,176473.0,79177.0,1160000,Center,2.228841709082183
160,Cherkasy Oblast,2018,Potatoes,1051429.0,82635.0,1160000,Center,12.723773219580082
161,Cherkasy Oblast,2019,Wheat,306897.0,78887.0,1160000,Center,3.8903368108813874
162,Cherkasy Oblast,2019,Barley,301760.0,90227.0,1160000,Center,3.344453434116174
163,Cherkasy Oblast,2019,Corn,10075942.039586257,153121.0,1160000,Center,6.996048876378811
164,Cherkasy Oblast,2019,Sunflower,81061.0,35588.0,1160000,Center,2.277762167022592
165,Cherkasy Oblast,2019,Rye,190475.0,63459.0,1160000,Center,3.0015443041964103
166,Cherkasy Oblast,2019,Soybean,161527.0,59063.0,1160000,Center,2.7348255252865585
167,Cherkasy Oblast,2019,Potatoes,876750.0,45047.0,1160000,Center,19.463005305569737
168,Cherkasy Oblast,2020,Wheat,259462.0,64158.0,1160000,Center,4.044109853798435
169,Cherkasy Oblast,2020,Barley,122290.0,50521.0,1160000,Center,2.420577581599731
170,Cherkasy Oblast,2020,Corn,356997.0,86217.0,1160000,Center,4.140679912314277
171,Cherkasy Oblast,2020,Sunflower,68640.0,37936.0,1160000,Center,1.809363137916491
172,Cherkasy Oblast,2020,Rye,202146.0,87372.0,1160000,Center,2.3136245021288286
173,Cherkasy Oblast,2020,Soybean,253726.0,98714.0,1160000,Center,2.5703142411410744
174,Cherkasy Oblast,2020,Potatoes,916155.0,64989.0,1160000,Center,14.097077967040576
175,Cherkasy Oblast,2021,Wheat,203616.0,45617.0,1160000,Center,4.463599096827937
176,Cherkasy Oblast,2021,Barley,110093.0,57375.0,1160000,Center,
177,Cherkasy Oblast,2021,Corn,288988.0,89977.0,1160000,Center,3.211798570745857
178,Cherkasy Oblast,2021,Sunflower,169441.0,69887.0,1160000,Center,2.424499549272397
179,Cherkasy Oblast,2021,Rye,125709.0,44268.0,1160000,Center,2.8397262130658714
180,Cherkasy Oblast,2021,soybean,123377.0,49317.0,1160000,Center,
181,Cherkasy Oblast,2021,potatoes,987185.0,55284.0,1160000,Center,17.85661312495478
182,Cherkasy Oblast,2022,Wheat,143434.0,,1160000,Center,
183,cherkasy reg.,2022,barley,253719.0,65964.0,1160000,Center,3.846325268328179
184,Cherkasy Oblast,2022,Corn,811736.0,93090.0,1160000,Center,8.719905467826834
185,Cherkasy Oblast,2022,Sunflower,279158.0,103170.0,1160000,Center,2.7058059513424446
186,Cherkasy Oblast,2022,Rye,112226.0,41491.0,1160000,Center,2.7048275529632932
187,Cherkasy Oblast,2022,Soybean,219016.0,125498.0,1160000,Center,1.7451752219158871
188,Cherkasy Oblast,2022,Potatoes,679798.0,34527.0,1160000,Center,
189,cherkasy reg.,2023,Wheat,178595.0,51039.0,1160000,Center,
190,Cherkasy Oblast,2023,Barley,136554.0,49092.0,1160000,Center,2.781593742361281
191,Cherkasy Oblast,2023,Corn,291504.0,38728.0,1160000,Center,7.52695724023962
192,Cherkasy Oblast,2023,Sunflower,,63978.0,1160000,Center,1.9369627059301635
193,Cherkasy Oblast,2023,Rye,185384.0,63125.0,1160000,Center,2.9367762376237625
194,Cherkasy Oblast,2023,Soybean,220427.0,115333.0,1160000,Center,1.911222286769615
195,Cherkasy Oblast,2023,Potatoes,2106327.0,92145.0,1160000,Center,22.858831189972328
196,Cherkasy Oblast,2024,Wheat,231398.0,51924.0,1160000,Center,4.456474847854556
197,Cherkasy Oblast,2024,Barley,110372.0,,1160000,Center,1.6554227348401902
198,Cherkasy Oblast,2024,Corn,585538.0,113840.0,1160000,Center,5.143517217146873
199,Cherkasy Oblast,2024,Sunflower,109019.0,45291.0,1160000,Center,2.4070786690512462
200,Cherkasy Oblast,2024,Rye,147510.0,52240.0,1160000,Center,2.823698315467075
201,Cherkasy Oblast,2024,Soybean,236572.0,85094.0,1160000,Center,2.780125508261452
202,Cherkasy Oblast,2024,Potatoes,,74105.0,1160000,Center,22.32470143714999
203,Cherkasy Oblast,2025,Wheat,119751.0,37730.0,1160000,Center,3.1738934534852903
204,Cherkasy Oblast,2025,Barley,231084.0,78664.0,1160000,Center,2.9376080545103225
205,Cherkasy Oblast,2025,Corn,11278809.223408855,135186.0,1160000,Center,8.8702010563224
206,Cherkasy Oblast,2025,Sunflower,144994.0,67905.0,1160000,Center,2.135247772623518
207,Cherkasy Oblast,2025,Rye,169182.0,64073.0,1160000,Center,2.6404569787586034
208,Cherkasy Oblast,2025,soybean,357063.0,103867.0,1160000,Center,3.437694359132352
209,Cherkasy Oblast,2025,Potatoes,1354743.0,64998.0,1160000,Center,20.842841318194406
210,Chernihiv Oblast,2011,Wheat,72962.0,22847.0,959000,North,3.1935046176740927
211,Chernihiv Oblast,2011,Barley,180464.0,64593.0,959000,North,
212,Chernihiv Oblast,2011,Corn,561969.0,91061.0,959000,North,
213,Chernihiv Oblast,2011,Sunflower,59800.0,25575.0,959000,North,2.3382209188660803
214,Chernihiv Oblast,2011,Rye,153089.0,45402.0,959000,North,3.37185586538038
215,Chernihiv Oblast,2011,Soybean,261444.0,86466.0,959000,North,3.023662480049962
216,Chernihiv Oblast,2011,Potatoes,1661676.0,88648.0,959000,North,18.74465300965617
217,Chernihiv Oblast,2012,Wheat,,38528.0,959000,North,3.3463974252491693
218,Chernihiv Oblast,2012,Barley,167448.0,55568.0,959000,North,3.0133890008638065
219,Chernihiv Oblast,2012,Corn,658253.0,85005.0,959000,North,7.743697429562967
220,Chernihiv Oblast,2012,Sunflower,38874.0,,959000,North,1.908488389218911
221,Chernihiv Oblast,2012,Rye,193659.0,76737.0,959000,North,2.5236717619922593
222,Chernihiv Oblast,2012,Soybean,306264.0,99507.0,959000,North,3.0778136211522806
223,Chernihiv Oblast,2012,Potatoes,965415.0,51235.0,959000,North,
224,Chernihiv Oblast,2013,Wheat,138854.0,26719.0,959000,North,5.1968262285265165
225,Chernihiv Oblast,2013,Barley,2519799.115959829,54828.0,959000,North,4.886134821623988
226,Chernihiv Oblast,2013,Corn,705714.0,92996.0,959000,North,7.588648974149426
227,Chernihiv Oblast,2013,Sunflower,50059.0,20211.0,959000,North,2.476819553708377
228,Chernihiv Oblast,2013,Rye,421045.0,121244.0,959000,North,3.4727079278149846
229,Chernihiv Oblast,2013,Soybean,213656.0,87205.0,959000,North,2.450043002121438
230,Chernihiv Oblast,2013,Potatoes,1307723.0,74207.0,959000,North,17.622636678480468
231,Chernihiv Oblast,2014,Wheat,355079.0,80350.0,959000,North,4.419153702551338
232,Chernihiv Oblast,2014,Barley,151353.0,49724.0,959000,North,3.0438621188963078
233,Chernihiv Oblast,2014,Corn,334260.0,110723.0,959000,North,3.0188849651833856
234,Chernihiv Oblast,2014,Sunflower,23971.0,13452.0,959000,North,1.7819655069878084
235,Chernihiv Oblast,2014,Rye,123996.0,46447.0,959000,North,
236,Chernihiv Oblast,2014,Soybean,155147.0,68539.0,959000,North,2.263630925458498
237,chernihiv reg.,2014,Potatoes,1822125.0,103953.0,959000,North,17.5283541600531
238,Chernihiv Oblast,2015,Wheat,309832.0,63215.0,959000,North,4.901241793878035
239,Chernihiv Oblast,2015,Barley,136075.0,37694.0,959000,North,3.6099909799968164
240,Chernihiv Oblast,2015,Corn,328863.0,67944.0,959000,North,4.840206640762982
241,Chernihiv Oblast,2015,Sunflower,45479.0,19244.0,959000,North,2.3632820619413843
242,Chernihiv Oblast,2015,Rye,198286.0,71123.0,959000,North,2.7879307678247542
243,Chernihiv Oblast,2015,Soybean,158858.0,64120.0,959000,North,2.4775109170305676
244,Chernihiv Oblast,2015,Potatoes,1396190.0,85291.0,959000,North,16.36972247951132
245,Chernihiv Oblast,2016,Wheat,120520.0,64363.0,959000,North,1.8725043891676896
246,chernihiv reg.,2016,Barley,1137308.406239274,58812.0,959000,North,
247,Chernihiv Oblast,2016,Corn,582313.0,95184.0,959000,North,6.11776138846865
248,Chernihiv Oblast,2016,Sunflower,24339.0,12238.0,959000,North,1.988805360352999
249,Chernihiv Oblast,2016,Rye,,63827.0,959000,North,2.7651934134457203
250,Chernihiv Oblast,2016,Soybean,243955.0,80360.0,959000,North,3.035776505724241
251,Chernihiv Oblast,2016,Potatoes,,72008.0,959000,North,15.81504832796356
252,Chernihiv Oblast,2017,Wheat,193590.0,44083.0,959000,North,4.391488782523876
253,Chernihiv Oblast,2017,Barley,135303.0,42784.0,959000,North,
254,Chernihiv Oblast,2017,Corn,768244.0,107201.0,959000,North,7.166388373242787
255,Chernihiv Oblast,2017,Sunflower,51126.0,26949.0,959000,North,1.8971390404096626
256,Chernihiv Oblast,2017,Rye,220183.0,83238.0,959000,North,2.645222134121435
257,Chernihiv Oblast,2017,Soybean,146468.0,44623.0,959000,North,3.2823431862492436
258,Chernihiv Oblast,2017,Potatoes,1551409.0,73363.0,959000,North,21.147022340962064
259,Chernihiv Oblast,2018,Wheat,173363.0,66742.0,959000,North,2.5975098139102815
260,Chernihiv Oblast,2018,Barley,149686.0,34388.0,959000,North,4.352855647318832
261,Chernihiv Oblast,2018,Corn,288756.0,50814.0,959000,North,5.682607155508324
262,Chernihiv Oblast,2018,Sunflower,46541.0,18922.0,959000,North,2.459623718423
263,Chernihiv Oblast,2018,Rye,306692.0,110142.0,959000,North,2.7845145357810828
264,Chernihiv Oblast,2018,Soybean,158728.0,66931.0,959000,North,2.371516935351332
265,Chernihiv Oblast,2018,Potatoes,,139758.0,959000,North,20.016771848480946
266,Chernihiv Oblast,2019,wheat,227339.0,59006.0,959000,North,3.852811578483544
267,Chernihiv Oblast,2019,Barley,108933.0,32416.0,959000,North,3.360470138203356
268,Chernihiv Oblast,2019,Corn,444711.0,88369.0,959000,North,5.03243218775815
269,Chernihiv Oblast,2019,Sunflower,87198.0,33706.0,959000,North,2.587017148282205
270,Chernihiv Oblast,2019,Rye,296102.0,89964.0,959000,North,3.2913387577253124
271,Chernihiv Oblast,2019,Soybean,1529174.9473693292,61231.0,959000,North,2.655142003233656
272,Chernihiv Oblast,2019,potatoes,672546.0,47492.0,959000,North,14.16124821022488
273,Chernihiv Oblast,2020,Wheat,157949.0,45931.0,959000,North,3.4388321612854065
274,Chernihiv Oblast,2020,Barley,74046.0,39767.0,959000,North,1.8619961274423518
275,Chernihiv Oblast,2020,Corn,439932.0,109864.0,959000,North,4.004332629432753
276,Chernihiv Oblast,2020,Sunflower,44974.0,15303.0,959000,North,2.9389008691106318
277,Chernihiv Oblast,2020,Rye,183114.0,76761.0,959000,North,
278,Chernihiv Oblast,2020,Soybean,127713.0,62944.0,959000,North,2.028994026436197
279,Chernihiv Oblast,2020,potatoes,916478.0,51716.0,959000,North,17.721362827751566
280,Chernihiv Oblast,2021,Wheat,,48882.0,959000,North,5.4166359805245285
281,Chernihiv Oblast,2021,Barley,851850.2511637603,29599.0,959000,North,3.059765532619345
282,chernihiv reg.,2021,Corn,715045.0,89843.0,959000,North,
283,Chernihiv Oblast,2021,Sunflower,,9206.0,959000,North,2.7575494242885075
284,Chernihiv Oblast,2021,Rye,216379.0,69568.0,959000,North,3.110323712051518
285,Chernihiv Oblast,2021,Soybean,235801.0,95862.0,959000,North,
286,Chernihiv Oblast,2021,Potatoes,2170011.0,102155.0,959000,North,21.242337624198523
287,Chernihiv Oblast,2022,wheat,186567.0,,959000,North,4.506340426559745
288,Chernihiv Oblast,2022,Barley,168110.0,49089.0,959000,North,3.424596141701807
289,Chernihiv Oblast,2022,Corn,591075.0,88210.0,959000,North,6.700770887654461
290,Chernihiv Oblast,2022,Sunflower,,14635.0,959000,North,2.721216262384694
291,Chernihiv Oblast,2022,Rye,290799.0,,959000,North,2.7597893138464458
292,Chernihiv Oblast,2022,Soybean,171208.0,79930.0,959000,North,2.141974227449018
293,Chernihiv Oblast,2022,Potatoes,953760.0,48903.0,959000,North,19.503097969449726
294,Chernihiv Oblast,2023,Wheat,181819.0,50268.0,959000,North,3.616992917959736
295,Chernihiv Oblast,2023,Barley,148516.0,43927.0,959000,North,3.3809729778951443
296,Chernihiv Oblast,2023,Corn,756373.0,111316.0,959000,North,6.7948273383880124
297,Chernihiv Oblast,2023,Sunflower,59654.0,24720.0,959000,North,2.4131877022653723
298,Chernihiv Oblast,2023,Rye,290938.0,87297.0,959000,North,3.3327376656700687
299,Chernihiv Oblast,2023,Soybean,196827.0,95627.0,959000,North,2.058278519664948
300,Chernihiv Oblast,2023,Potatoes,2589740.0,153135.0,959000,North,16.911483331700786
301,Chernihiv Oblast,2024,Wheat,76725.0,29588.0,959000,North,2.5931120724618086
302,Chernihiv Oblast,2024,Barley,138615.0,44273.0,959000,North,3.1309150046303618
303,Chernihiv Oblast,2024,Corn,298027.0,60530.0,959000,North,4.923624648934413
304,Chernihiv Oblast,2024,sunflower,47574.0,19875.0,959000,North,2.3936603773584904
305,Chernihiv Oblast,2024,Rye,200224.0,63739.0,959000,North,3.14131065752522
306,Chernihiv Oblast,2024,Soybean,241877.0,105485.0,959000,North,2.29299900459781
